train_id,train_number,train_name,train_type,priority_level,scheduled_route,coach_length,max_speed_kmph
TRN0001,12005,New Delhi–Kalka Shatabdi,Superfast,1,"STN102,STN045,STN004,STN036,STN080",16,130
TRN0002,12006,Kalka–New Delhi Shatabdi,Superfast,1,"STN080,STN036,STN004,STN045,STN102",16,130
TRN0003,12045,New Delhi–Chandigarh Shatabdi,Superfast,1,"STN102,STN045,STN004,STN037",16,130
TRN0004,12046,Chandigarh–New Delhi Shatabdi,Superfast,1,"STN037,STN004,STN045,STN102",16,130
TRN0005,12017,New Delhi–Dehradun Shatabdi,Superfast,1,"STN102,STN053,STN123,STN063,STN041",16,130
TRN0006,12018,Dehradun–New Delhi Shatabdi,Superfast,1,"STN041,STN063,STN123,STN053,STN102",16,130
TRN0007,12029,New Delhi–Amritsar Swarna Shatabdi,Superfast,1,"STN102,STN045,STN004,STN093,STN074,STN006",16,130
TRN0008,12030,Amritsar–New Delhi Swarna Shatabdi,Superfast,1,"STN006,STN074,STN093,STN004,STN045,STN102",16,130
TRN0009,12031,New Delhi–Amb Andaura Shatabdi,Superfast,1,"STN102,STN045,STN004,STN123,STN037,STN003",16,130
TRN0010,12032,Amb Andaura–New Delhi Shatabdi,Superfast,1,"STN003,STN037,STN123,STN004,STN045,STN102",16,130
TRN0011,12425,New Delhi–Jammu Tawi Rajdhani,Superfast,1,"STN102,STN045,STN004,STN093,STN074,STN006,STN075",22,140
TRN0012,12426,Jammu Tawi–New Delhi Rajdhani,Superfast,1,"STN075,STN006,STN074,STN093,STN004,STN045,STN102",22,140
TRN0013,22439,New Delhi–Kota Vande Bharat (NR section),Superfast,1,"STN102,STN045",16,160
TRN0014,22440,Kota–New Delhi Vande Bharat (NR section),Superfast,1,"STN045,STN102",16,160
TRN0015,22447,New Delhi–Una Himachal Vande Bharat (NR),Superfast,1,"STN102,STN045,STN004,STN037,STN003",16,160
TRN0016,22448,Una Himachal–New Delhi Vande Bharat (NR),Superfast,1,"STN003,STN037,STN004,STN045,STN102",16,160
TRN0017,22429,New Delhi–Pathankot Superfast,Superfast,2,"STN102,STN045,STN004,STN093,STN074,STN006,STN073",22,130
TRN0018,22430,Pathankot–New Delhi Superfast,Superfast,2,"STN073,STN006,STN074,STN093,STN004,STN045,STN102",22,130
TRN0019,12259,Sealdah Duronto (NR section),Superfast,1,"STN030,STN102",20,140
TRN0020,12260,Sealdah Duronto (NR section R),Superfast,1,"STN102,STN030",20,140
TRN0021,12459,NDLS–Amritsar Intercity,Express,2,"STN102,STN045,STN004,STN093,STN074,STN006",22,120
TRN0022,12460,Amritsar–NDLS Intercity,Express,2,"STN006,STN074,STN093,STN004,STN045,STN102",22,120
TRN0023,14673,Amritsar–Jaynagar Sarayu Yamuna,Express,3,"STN006,STN074,STN093,STN004,STN045,STN102",22,120
TRN0024,14674,Jaynagar–Amritsar Sarayu Yamuna,Express,3,"STN102,STN045,STN004,STN093,STN074,STN006",22,120
TRN0025,14645,Shri Mata Vaishno Devi Katra–NDLS Express,Express,3,"STN075,STN006,STN074,STN093,STN004,STN045,STN102",22,120
TRN0026,14646,NDLS–Shri Mata Vaishno Devi Katra Express,Express,3,"STN102,STN045,STN004,STN093,STN074,STN006,STN075",22,120
TRN0027,14113,Prayagraj Sangam–Meerut City,Passenger,4,"STN023,STN096,STN095",18,110
